chr	start	end	rho_PGC	var_PGC	p_PGC	m_PGC	rho_FG	var_FG	p_FG	m_FG
1	10583	1892606	-2.375493428458996e-05	3.0787421222224982e-09	0.6685625652750758	250	-4.756375238144566e-05	7.675362031752632e-09	0.5871927743757077	244
1	1892607	3582735	0.0001772192739412	8.743542418082498e-09	0.0580588629788968	649	3.897380795131671e-05	2.1518771546530085e-08	0.7904831983156495	644
1	3582736	4380810	5.13102426165976e-06	4.945709334984493e-09	0.9418372864722848	350	3.813360225634349e-05	1.365147569599696e-08	0.7441399976000274	350
1	4380811	5913892	6.093008640752941e-05	1.3489176976903161e-08	0.5998522313903146	1019	-9.478240431611114e-05	3.7947122982231914e-08	0.6265686742437507	1013
1	5913893	7247334	0.0001575602165788	7.611654071527164e-09	0.0709252888428456	546	6.84269255042563e-05	1.3500635445773132e-08	0.5559207457990182	538
1	7247335	9365198	-1.670013199642635e-06	1.0264746811646456e-08	0.9868487758962682	835	-8.460182845570792e-05	2.5168875462894845e-08	0.5938461041859884	831
1	9365199	10806983	-5.352758515447037e-06	5.223570701330597e-09	0.9409612584989234	452	-1.6869740954986322e-05	1.0826743347307028e-08	0.8712046256426969	451
1	10806984	11777840	9.730468627161468e-05	1.0617565414084365e-08	0.3450038201442961	325	0.0001498942922564	1.4041537815931642e-08	0.2058846581711065	322
1	11777841	12779465	3.557645755814832e-05	4.826333196221225e-09	0.6085816222530636	376	7.735641277405732e-05	1.204237368447126e-08	0.4808595787579844	367
1	12779466	14891510	-0.0001116865635116	8.865733044008891e-09	0.2355587649358919	697	-0.0001333715665568	2.3933760871627516e-08	0.3886323456174082	689
1	14891511	16897729	-1.6396405127548117e-05	1.1258677512765312e-08	0.8771940619932335	890	1.812124671169686e-05	2.43006748428953e-08	0.9074573927250124	885
1	16897730	18662898	4.844276538022571e-05	9.549631671685448e-09	0.6200926384750964	780	-0.0001375895677079	2.381028885878401e-08	0.372570918030536	771
1	18662899	20469148	-5.2886799048836634e-05	1.1679725189155758e-08	0.6245848535735192	891	0.000127117171299	3.016954812998852e-08	0.464262451678671	888
1	20469149	21736587	-1.4012842104834372e-05	6.515270989013351e-09	0.8621766068600835	544	-0.0001001614058238	1.5029727949795013e-08	0.4139254230619789	540
1	21736588	23086882	-6.50212817371427e-05	7.886813418148232e-09	0.4640722072961432	623	-5.394935532788188e-05	2.116170894529616e-08	0.7107412387578069	619
1	23086883	23920589	2.6543589233735705e-06	2.8865530313592478e-09	0.9605966366215786	278	-5.951575292482645e-05	6.366246739948874e-09	0.455717873101334	277
1	23920590	25516844	7.750133429729457e-05	7.575343588879665e-09	0.3732259846623307	651	5.696253937975848e-05	1.9115949330682937e-08	0.6803434627863411	647
1	25516845	27401866	-5.241853035046782e-05	5.855236487557143e-09	0.4933219754444716	573	-6.667745095226205e-05	1.2846613190615762e-08	0.5563438395178384	570
1	27401867	30161880	0.000182728563338	2.8332569793378083e-08	0.2776630570680304	714	-0.0001018053513378	1.5541654832688742e-08	0.414143509558766	708
1	30161881	32438684	0.0003084839473226	1.2224943831282094e-08	0.0052702885812484	1100	-0.000268754420961	2.7970199891083953e-08	0.1080608982063865	1095
1	32438685	34799757	-3.930684320759973e-05	8.424474919224699e-09	0.6684695666719175	804	-0.0001138810209902	1.914862343407117e-08	0.4105265960494282	800
1	34799758	37549182	0.0003057215772739	8.550089417193628e-09	0.000945406494554	730	8.845536718403809e-05	2.1444091022091667e-08	0.5458127306005116	728
1	37549183	38731846	0.0002199710536005	5.4243752343501655e-09	0.0028201220366055	495	4.291737880095125e-06	1.3052075112013006e-08	0.9700338235388606	493
1	38731847	40200566	0.0002224192097741	6.3423059129729686e-09	0.0052244781223897	511	-0.0001027226108089	1.4995819068909187e-08	0.401557126496214	508
1	40200567	41975326	-4.374340554963065e-05	7.477863614913231e-09	0.6129602649171313	671	0.0002195498099171	1.733364962956713e-08	0.0953980780476036	666
1	41975327	43758456	4.3658866802680686e-05	6.6393243524048414e-09	0.5920901248578867	656	-7.305944825688413e-05	1.5222801169685752e-08	0.5537525514638111	655
1	43758457	44969182	0.0003878266365549	1.4569844599653952e-08	0.001313581558678	456	2.706314682913324e-05	9.683196319799716e-09	0.7832986116710687	455
1	44969183	46899500	4.3663640379350315e-05	5.654549668193346e-09	0.5614705086699433	578	-0.0001145457795892	9.193682073318501e-09	0.2322306174545464	574
1	46899501	48002575	1.512382312272092e-05	3.79387603301981e-09	0.8060393164446455	385	-1.1080043976855529e-05	8.123354546478364e-09	0.902158965633452	384
1	48002576	48978187	-7.024066581262107e-05	4.3831469213924134e-09	0.2887118604046252	389	-6.220872910055123e-05	1.043927679526838e-08	0.5426184670292018	387
1	48978188	49894176	9.26962923530018e-05	3.107600706584914e-09	0.0963450079074102	275	7.717040414004047e-05	5.679470728407832e-09	0.3058387437682618	273
1	49894177	51713725	0.0001016685844926	4.897594904833426e-09	0.1462890327308888	324	4.232014390736471e-05	5.243053845967004e-09	0.5589107036179837	324
1	51713726	54226261	8.307094318101258e-05	7.083341242479359e-09	0.3236282591397926	665	-3.81996270790262e-05	1.5608373533239374e-08	0.759787585271138	659
1	54226262	56413116	2.3953944056044272e-05	1.2090180843026972e-08	0.8275447864571607	1016	-8.020231972320108e-05	3.0573903120992044e-08	0.6464627014085476	1012
1	56413117	57021727	-4.985036972871607e-06	3.288160084621533e-09	0.9307236166146604	307	9.234398692520631e-06	7.943975343829457e-09	0.9174811227942364	306
1	57021728	58865398	7.518082158213756e-05	1.1159167808054572e-08	0.4766564572926159	1025	-1.45874812644212e-05	2.641353891838785e-08	0.9284805349516476	1023
1	58865399	59890408	3.41997821039029e-05	4.964418933640409e-09	0.6274010699399425	459	5.18550040458241e-05	1.1809136755781916e-08	0.6332344494025375	456
1	59890409	61922364	6.021657432105813e-05	9.928118851954109e-09	0.5456164881089799	783	0.0002136849303604	2.4414342181493173e-08	0.1714449204440022	778
1	61922365	63455088	-1.0022948135764e-05	7.721446274874867e-09	0.9091875680329194	653	8.480597633010469e-05	1.7778015553067033e-08	0.5247499800660904	651
